grid_size,seed,used_seed,V,E,fundamental_cycles_total,cycle_len_min,cycle_len_max,cycle_len_median,cycle_len_mean,frac_local_cycles,base_path_length,single_xor_compatibility_rate,valid_paths_xor_single,pair_xor_compatibility_rate,valid_paths_xor_pairs,valid_paths_xor_total,time_xor_ms,paths_found_astar_repeated,time_astar_repeated_ms,astar_success,diversity_xor,diversity_astar,fail_degree,fail_disconnected,fail_both
20,14,14,284,391,108,4,66,6.0,13.685185185185185,0.6574074074074074,40,0.3148148148148148,34,0.12,60,94,24.191986000005272,4,2.06109399982779,False,0.38100876983956844,0.6844939126655545,9,61,4
20,15,20,235,315,81,4,38,6.0,9.135802469135802,0.8148148148148148,40,0.2839506172839506,23,0.084,42,65,20.722087000194733,7,2.0095670001865074,False,0.2879359281665276,0.40164997695637766,5,53,0
20,16,20,235,315,81,4,38,6.0,9.135802469135802,0.8148148148148148,40,0.2839506172839506,23,0.084,42,65,20.825672999990275,7,1.5516210000896535,False,0.2879359281665276,0.40164997695637766,5,53,0
20,17,20,235,315,81,4,38,6.0,9.135802469135802,0.8148148148148148,40,0.2839506172839506,23,0.084,42,65,20.493348999934824,7,1.6459500000109983,False,0.2879359281665276,0.40164997695637766,5,53,0
20,18,20,235,315,81,4,38,6.0,9.135802469135802,0.8148148148148148,40,0.2839506172839506,23,0.084,42,65,21.767114999875048,7,1.632917000051748,False,0.2879359281665276,0.40164997695637766,5,53,0
20,19,20,235,315,81,4,38,6.0,9.135802469135802,0.8148148148148148,40,0.2839506172839506,23,0.084,42,65,20.55326499998955,7,1.7423250001229462,False,0.2879359281665276,0.40164997695637766,5,53,0
30,0,0,626,891,266,4,172,10.0,29.909774436090224,0.556390977443609,58,0.12406015037593984,33,0.026,13,46,55.60857599994051,10,6.569381999952384,True,0.3345463056258104,0.6281900395772322,34,194,5
30,1,4,642,899,258,4,206,8.0,22.286821705426355,0.6046511627906976,60,0.15503875968992248,40,0.034,17,57,47.92927599987706,9,6.033228999967832,False,0.16212294144969905,0.5943964510694362,22,190,6
30,2,4,642,899,258,4,206,8.0,22.286821705426355,0.6046511627906976,60,0.15503875968992248,40,0.034,17,57,53.437587999951575,9,5.7943480001085845,False,0.16212294144969905,0.5943964510694362,22,190,6
30,3,4,642,899,258,4,206,8.0,22.286821705426355,0.6046511627906976,60,0.15503875968992248,40,0.034,17,57,72.22581600012745,9,5.1626849999593105,False,0.16212294144969905,0.5943964510694362,22,190,6
30,4,4,642,899,258,4,206,8.0,22.286821705426355,0.6046511627906976,60,0.15503875968992248,40,0.034,17,57,52.91440300015893,9,6.220600000006016,False,0.16212294144969905,0.5943964510694362,22,190,6
30,5,5,604,803,200,4,150,8.0,26.2,0.6,60,0.17,34,0.026,13,47,52.4962519998553,10,6.954622000193922,True,0.19607458177371045,0.6364510619597249,12,139,15
30,6,6,627,880,254,4,160,8.0,21.15748031496063,0.5866141732283464,60,0.2874015748031496,73,0.096,48,121,47.422245000007024,10,5.806020999898465,True,0.133998052712246,0.5223110950336628,3,177,1
30,7,7,604,830,227,4,108,8.0,18.651982378854626,0.5594713656387665,58,0.1145374449339207,26,0.04,20,46,42.74936199999502,10,5.222587000162093,True,0.2748645893385371,0.6006499555913564,18,166,17
